Year,Rank,Player,Position,Team,Level,ETA,Current Age,Height/Weight,Bats,Throws
2011,1,Mike Trout,OF,Los Angeles Angels,MLB,,33,N/A,R,R
2011,2,Jeremy Hellickson,P,Washington Nationals,MLB,,37,N/A,R,R
2011,3,Bryce Harper,OF,Philadelphia Phillies,MLB,,32,N/A,L,R
2011,4,Domonic Brown,LF,-,-,,37,N/A,L,L
2011,5,Dustin Ackley,2B,Seattle Mariners,MLB,,36,N/A,L,R
2011,6,Aroldis Chapman,P,Boston Red Sox,MLB,,36,N/A,L,L
2011,7,Mike Moustakas,3B,Chicago White Sox,MLB,,36,N/A,L,R
2011,8,Eric Hosmer,1B,Chicago Cubs,MLB,,35,N/A,L,L
2011,9,Jesus Montero,C,-,-,,35,N/A,R,R
2011,10,Julio Teheran,RHP,-,-,,34,N/A,R,R
2011,11,Desmond Jennings,CF,-,-,,38,N/A,R,R
2011,12,Kyle Drabek,P,-,-,,37,N/A,R,R
2011,13,Michael Pineda,P,Detroit Tigers,MLB,,36,N/A,R,R
2011,14,Mike Montgomery,LHP,Los Angeles Dodgers,AAA,,35,N/A,L,L
2011,15,Jacob Turner,RHP,Detroit Tigers,AAA,,33,N/A,R,R
2011,16,Wil Myers,OF,Cincinnati Reds,MLB,,34,N/A,R,R
2011,17,Freddie Freeman,1B,Los Angeles Dodgers,MLB,,35,N/A,L,R
2011,18,Jameson Taillon,RHP,Chicago Cubs,MLB,,33,N/A,R,R
2011,19,Zack Britton,P,New York Yankees,MLB,,37,N/A,L,L
2011,20,Shelby Miller,RHP,Detroit Tigers,MLB,,34,N/A,R,R
2011,21,Mike Minor,P,Cincinnati Reds,MLB,,37,N/A,R,L
2011,22,Casey Kelly,RHP,Cincinnati Reds,AAA,,35,N/A,R,R
2011,23,Martín Pérez,LHP,Chicago White Sox,MLB,,33,N/A,L,L
2011,24,Manny Machado,SS,San Diego Padres,MLB,,32,N/A,R,R
2011,25,Chris Sale,P,Atlanta Braves,MLB,,35,N/A,L,L
2011,26,Brandon Belt,DH,Toronto Blue Jays,MLB,,36,N/A,L,L
2011,27,Matt Moore,LHP,Los Angeles Angels,MLB,,35,N/A,L,L
2011,28,Brett Lawrie,3B,Chicago White Sox,MLB,,35,N/A,R,R
2011,29,Jarrod Parker,RHP,Milwaukee Brewers,AAA,,36,N/A,R,R
2011,30,Jon Singleton,1B,Houston Astros,MLB,,33,N/A,L,L
2011,31,Jordan Lyles,P,Los Angeles Dodgers,AAA,,34,N/A,R,R
2011,32,Gary Sánchez,C,Baltimore Orioles,MLB,,32,N/A,R,R
2011,33,Tyler Matzek,LHP,Atlanta Braves,AAA,,34,N/A,L,L
2011,34,John Lamb,LHP,Los Angeles Angels,AAA,,34,N/A,L,L
2011,35,Manny Banuelos,LHP,-,-,,33,N/A,R,L
2011,36,Lonnie Chisenhall,3B,Pittsburgh Pirates,MLB,,36,N/A,L,R
2011,37,Jake Odorizzi,RHP,Tampa Bay Rays,AAA,,34,N/A,R,R
2011,38,Nick Franklin,SS,-,-,,33,N/A,S,R
2011,39,Aaron Hicks,OF,Los Angeles Angels,MLB,,35,N/A,S,R
2011,40,Kyle Gibson,RHP,St. Louis Cardinals,MLB,,37,N/A,R,R
2011,41,Wilin Rosario,C,-,-,,35,N/A,R,R
2011,42,Jose Iglesias,SS,New York Mets,MLB,,35,N/A,R,R
2011,43,Tanner Scheppers,RHP,-,-,,38,N/A,R,R
2011,44,Dee Strange-Gordon,2B,Washington Nationals,AAA,,36,N/A,L,R
2011,45,Devin Mesoraco,C,New York Mets,AAA,,36,N/A,R,R
2011,46,Brett Jackson,OF,San Francisco Giants,AAA,,36,N/A,L,R
2011,47,Chris Archer,RHP,Minnesota Twins,MLB,,36,N/A,R,R
2011,48,J.P. Arencibia,C,Tampa Bay Rays,AAA,,39,N/A,R,R
2011,49,Yonder Alonso,1B,San Diego Padres,AAA,,37,N/A,L,R
2011,50,Christian Friedrich,LHP,-,-,,37,N/A,R,L
2012,1,Matt Moore,LHP,Los Angeles Angels,MLB,,35,N/A,L,L
2012,2,Bryce Harper,OF,Philadelphia Phillies,MLB,,32,N/A,L,R
2012,3,Mike Trout,OF,Los Angeles Angels,MLB,,33,N/A,R,R
2012,4,Julio Teheran,RHP,-,-,,34,N/A,R,R
2012,5,Shelby Miller,RHP,Detroit Tigers,MLB,,34,N/A,R,R
2012,6,Manny Machado,SS,San Diego Padres,MLB,,32,N/A,R,R
2012,7,Jurickson Profar,SS,Atlanta Braves,MLB,,31,N/A,S,R
2012,8,Jameson Taillon,RHP,Chicago Cubs,MLB,,33,N/A,R,R
2012,9,Trevor Bauer,RHP,-,-,,34,N/A,R,R
2012,10,Dylan Bundy,RHP,New York Mets,AAA,,32,N/A,S,R
2012,11,Gerrit Cole,RHP,New York Yankees,MLB,,34,N/A,R,R
2012,12,Jesus Montero,C,-,-,,35,N/A,R,R
2012,13,Manny Banuelos,LHP,-,-,,33,N/A,R,L
2012,14,Devin Mesoraco,C,New York Mets,AAA,,36,N/A,R,R
2012,15,Jacob Turner,RHP,Detroit Tigers,AAA,,33,N/A,R,R
2012,16,Danny Hultzen,LHP,Chicago Cubs,AAA,,35,N/A,L,L
2012,17,Bubba Starling,OF,Kansas City Royals,AAA,,32,N/A,R,R
2012,18,Taijuan Walker,RHP,Philadelphia Phillies,MLB,,32,N/A,R,R
2012,19,Wil Myers,OF,Cincinnati Reds,MLB,,34,N/A,R,R
2012,20,Archie Bradley,RHP,Miami Marlins,AAA,,32,N/A,R,R
2012,21,Tyler Skaggs,LHP,Los Angeles Angels,MLB,,27,N/A,L,L
2012,22,Nolan Arenado,3B,St. Louis Cardinals,MLB,,33,N/A,R,R
2012,23,Miguel Sanó,3B,-,-,,31,N/A,R,R
2012,24,Drew Pomeranz,LHP,Seattle Mariners,AAA,,36,N/A,R,L
2012,25,Travis d'Arnaud,C,Los Angeles Angels,MLB,,35,N/A,R,R
2012,26,Jarrod Parker,RHP,Milwaukee Brewers,AAA,,36,N/A,R,R
2012,27,Anthony Rendon,3B,Los Angeles Angels,MLB,,34,N/A,R,R
2012,28,Zack Wheeler,RHP,Philadelphia Phillies,MLB,,34,N/A,L,R
2012,29,Martín Pérez,LHP,Chicago White Sox,MLB,,33,N/A,L,L
2012,30,Carlos Martinez,RHP,-,-,,33,N/A,R,R
2012,31,Mike Montgomery,LHP,Los Angeles Dodgers,AAA,,35,N/A,L,L
2012,32,Francisco Lindor,SS,New York Mets,MLB,,31,N/A,S,R
2012,33,Brett Jackson,OF,San Francisco Giants,AAA,,36,N/A,L,R
2012,34,Billy Hamilton,OF,-,-,,34,N/A,S,R
2012,35,Christian Yelich,OF,Milwaukee Brewers,MLB,,33,N/A,L,R
